pruning,No.,total,fruits,mean_score,median_score
None,23,4,69,0.988716718,0.996484518
None,23,6,81,0.990149321,0.995472074
None,23,2,75,0.990653596,0.996918678
None,23,4,50,0.983038116,0.996639669
None,23,6,60,0.991166314,0.997210801
None,23,4,46,0.991475789,0.996878207
None,23,6,47,0.990706964,0.995672703
None,23,4,75,0.990653596,0.996918678
None,23,6,68,0.989493508,0.994854659
None,23,6,37,0.988212047,0.997760057
None,23,6,70,0.985666653,0.996372104
None,24,2,10,0.975089031,0.994227588
None,24,4,5,0.998402905,0.998978138
None,24,6,7,0.996789362,0.998793125
None,24,2,7,0.998327843,0.998520553
None,24,4,9,0.978786886,0.989198864
None,24,6,7,0.996208336,0.998424172
None,24,4,4,0.998028859,0.998168409
None,24,6,7,0.99121029,0.993806839
None,24,4,7,0.997287427,0.998152554
None,24,6,2,0.999108791,0.999108791
None,24,6,4,0.990825817,0.996953845
None,24,6,6,0.998711497,0.998718828
None,25,2,16,0.989997838,0.996403992
None,25,4,23,0.98733342,0.997223496
None,25,6,35,0.990881205,0.998323858
None,25,2,31,0.991913174,0.9977265
None,25,4,16,0.989997838,0.996403992
None,25,6,38,0.987614084,0.996687591
None,25,4,21,0.991924942,0.998512566
None,25,6,14,0.995893185,0.997702301
None,25,4,31,0.991913174,0.9977265
None,25,6,27,0.987082647,0.99773705
None,25,6,25,0.994610276,0.998176813
None,25,6,30,0.996168152,0.997928023
0-5%,01,2,17,0.992798497,0.997187316
0-5%,01,4,8,0.973897964,0.995541722
0-5%,01,6,16,0.980735872,0.995764315
0-5%,01,2,18,0.986926039,0.995817751
0-5%,01,4,18,0.99101414,0.996944726
0-5%,01,6,7,0.997522363,0.998198211
0-5%,01,4,17,0.985247875,0.995883882
0-5%,01,6,17,0.992798497,0.997187316
0-5%,01,4,17,0.990536392,0.997719109
0-5%,01,6,22,0.98492181,0.996129185
0-5%,01,6,16,0.986276221,0.994299352
0-5%,01,6,18,0.986926039,0.995817751
0-5%,02,2,4,0.980550662,0.994404733
0-5%,02,4,5,0.98209579,0.992199719
0-5%,02,6,2,0.971173465,0.971173465
0-5%,02,2,3,0.974990944,0.98558259
0-5%,02,4,4,0.997105271,0.996883124
0-5%,02,6,5,0.967103004,0.963690519
0-5%,02,4,9,0.99665359,0.996750116
0-5%,02,6,3,0.996656358,0.99857533
0-5%,02,4,2,0.996181905,0.996181905
0-5%,02,6,8,0.973435156,0.99376294
0-5%,02,6,12,0.973707855,0.996925443
0-5%,02,6,3,0.940804978,0.914275229
0-5%,03,2,15,0.991396483,0.998796105
0-5%,03,4,9,0.984794074,0.995761931
0-5%,03,6,12,0.969823197,0.995865554
0-5%,03,2,14,0.989240455,0.997309417
0-5%,03,4,13,0.996770588,0.998720706
0-5%,03,6,20,0.982776415,0.99641794
0-5%,03,4,17,0.987819153,0.995320857
0-5%,03,6,14,0.991805826,0.998491615
0-5%,03,4,12,0.994107569,0.997666597
0-5%,03,6,18,0.990742584,0.997423232
0-5%,03,6,11,0.987928786,0.996959567
0-5%,03,6,14,0.985276043,0.996040374
0-5%,04,2,46,0.988543843,0.996972114
0-5%,04,4,32,0.98254846,0.993611693
0-5%,04,6,39,0.988763875,0.996256351
0-5%,04,2,31,0.9842589,0.995954514
0-5%,04,4,46,0.988543843,0.996972114
0-5%,04,6,25,0.992082539,0.995785654
0-5%,04,4,30,0.991755128,0.997803479
0-5%,04,6,46,0.992198091,0.99722752
0-5%,04,4,31,0.9842589,0.995954514
0-5%,04,6,10,0.995334053,0.997123033
0-5%,04,6,33,0.984052432,0.997155786
0-5%,04,6,26,0.9882156,0.994659871
0-5%,05,2,10,0.981814033,0.987418234
0-5%,05,4,14,0.990491113,0.996852905
0-5%,05,6,13,0.992384525,0.99602294
0-5%,05,2,13,0.995807166,0.997326374
0-5%,05,4,7,0.987416829,0.993169308
0-5%,05,6,8,0.995201133,0.997655451
0-5%,05,4,9,0.989525464,0.993879318
0-5%,05,6,10,0.981814033,0.987418234
0-5%,05,4,13,0.992323917,0.997409165
0-5%,05,6,6,0.993919094,0.996589839
0-5%,05,6,5,0.98607558,0.997997701
0-5%,05,6,13,0.995807166,0.997326374
0-5%,06,2,6,0.992337694,0.991656929
0-5%,06,4,9,0.993182282,0.995387733
0-5%,06,6,15,0.997052356,0.998128355
0-5%,06,2,8,0.982925661,0.99615705
0-5%,06,4,5,0.962642539,0.987040102
0-5%,06,6,16,0.992186978,0.994662374
0-5%,06,4,4,0.994409561,0.997013628
0-5%,06,6,5,0.962642539,0.987040102
0-5%,06,4,8,0.990734331,0.997907937
0-5%,06,6,6,0.96260492,0.980356693
0-5%,06,6,9,0.985763795,0.998461962
0-5%,06,6,8,0.990734331,0.997907937
0-5%,07,2,28,0.977098876,0.992783964
0-5%,07,4,26,0.971234796,0.990154058
0-5%,07,6,12,0.991436059,0.998015404
0-5%,07,2,15,0.975461193,0.990489364
0-5%,07,4,30,0.978204944,0.994284272
0-5%,07,6,34,0.982086872,0.996332973
0-5%,07,4,13,0.991833425,0.995678365
0-5%,07,6,30,0.981775218,0.993413121
0-5%,07,4,18,0.970757137,0.989147156
0-5%,07,6,19,0.98562842,0.994021356
0-5%,07,6,12,0.981603712,0.997057766
0-5%,07,6,19,0.970631863,0.992721975
0-5%,08,2,22,0.986513027,0.995901436
0-5%,08,4,18,0.987343407,0.994621664
0-5%,08,6,19,0.993835374,0.998148561
0-5%,08,2,37,0.986789752,0.996964157
0-5%,08,4,22,0.986513027,0.995901436
0-5%,08,6,18,0.990239057,0.995348036
0-5%,08,4,44,0.988060458,0.997080177
0-5%,08,6,21,0.988723718,0.995992601
0-5%,08,4,37,0.986789752,0.996964157
0-5%,08,6,32,0.991086006,0.997609347
0-5%,08,6,37,0.990690707,0.997153521
0-5%,08,6,40,0.984587695,0.997060895
0-5%,09,2,4,0.999070853,0.999105453
0-5%,09,4,6,0.974993904,0.994877219
0-5%,09,6,5,0.97959913,0.996495664
0-5%,09,2,3,0.972561836,0.999685168
0-5%,09,4,5,0.986692166,0.999212027
0-5%,09,6,9,0.994081742,0.996769071
0-5%,09,4,8,0.976634532,0.987813264
0-5%,09,6,4,0.999070853,0.999105453
0-5%,09,4,3,0.9812813,0.999655604
0-5%,09,6,9,0.982650631,0.997106612
0-5%,09,6,13,0.987397001,0.996024609
0-5%,09,6,3,0.972561836,0.999685168
0-5%,10,2,7,0.994716116,0.997012138
0-5%,10,4,7,0.984010569,0.998314738
0-5%,10,6,9,0.996673624,0.997547925
0-5%,10,2,18,0.990976946,0.995959222
0-5%,10,4,7,0.994716116,0.997012138
0-5%,10,6,7,0.994780285,0.997740388
0-5%,10,4,11,0.994879815,0.997005045
0-5%,10,6,6,0.996202528,0.998259395
0-5%,10,4,18,0.990976946,0.995959222
0-5%,10,6,6,0.994674683,0.997490615
0-5%,10,6,11,0.990204963,0.998115182
0-5%,10,6,18,0.985772318,0.994355172
0-5%,11,2,14,0.996407262,0.998305738
0-5%,11,4,5,0.995978618,0.996311843
0-5%,11,6,10,0.989250803,0.996613026
0-5%,11,2,13,0.99233415,0.997635365
0-5%,11,4,14,0.996407262,0.998305738
0-5%,11,6,9,0.99637162,0.997955203
0-5%,11,4,15,0.989666597,0.996930778
0-5%,11,6,14,0.996407262,0.998305738
0-5%,11,4,13,0.99233415,0.997635365
0-5%,11,6,12,0.997212946,0.998435974
0-5%,11,6,15,0.997331162,0.99806577
0-5%,11,6,13,0.99233415,0.997635365
0-5%,12,2,31,0.987078332,0.996961176
0-5%,12,4,25,0.994788377,0.998207808
0-5%,12,6,30,0.997343826,0.998068213
0-5%,12,2,18,0.995404608,0.997083962
0-5%,12,4,33,0.987992326,0.996717036
0-5%,12,6,21,0.993165646,0.997542381
0-5%,12,4,12,0.983473162,0.996391267
0-5%,12,6,33,0.987992326,0.996717036
0-5%,12,4,18,0.991846366,0.997424334
0-5%,12,6,17,0.983111567,0.993706048
0-5%,12,6,19,0.989365069,0.996449709
0-5%,12,6,18,0.991846366,0.997424334
0-5%,13,2,8,0.982541025,0.997815996
0-5%,13,4,5,0.995753312,0.998003781
0-5%,13,6,5,0.995457733,0.995148718
0-5%,13,2,6,0.9845604,0.989335835
0-5%,13,4,8,0.982541025,0.997815996
0-5%,13,6,7,0.977870268,0.992670655
0-5%,13,4,9,0.979866372,0.996399641
0-5%,13,6,12,0.972505391,0.993380159
0-5%,13,4,6,0.9845604,0.989335835
0-5%,13,6,9,0.994002759,0.997805655
0-5%,13,6,7,0.99074253,0.998174548
0-5%,13,6,6,0.985210915,0.991105884
0-5%,14,2,5,0.978521943,0.996281326
0-5%,14,4,7,0.994461008,0.997175932
0-5%,14,6,9,0.97762843,0.981494546
0-5%,14,2,14,0.978486619,0.987753093
0-5%,14,4,5,0.978521943,0.996281326
0-5%,14,6,7,0.971875753,0.990117252
0-5%,14,4,11,0.974570096,0.995677412
0-5%,14,6,4,0.981328309,0.99516654
0-5%,14,4,14,0.978486619,0.987753093
0-5%,14,6,8,0.988911808,0.99769786
0-5%,14,6,9,0.996538566,0.997598231
0-5%,14,6,11,0.982102622,0.992349386
0-5%,15,2,15,0.979769131,0.996423066
0-5%,15,4,12,0.990050281,0.997848272
0-5%,15,6,13,0.987880088,0.997576058
0-5%,15,2,14,0.961866851,0.979116768
0-5%,15,4,18,0.977124929,0.987714767
0-5%,15,6,11,0.982745458,0.995833635
0-5%,15,4,19,0.991039377,0.996810138
0-5%,15,6,16,0.969207659,0.97888571
0-5%,15,4,15,0.983152795,0.988918126
0-5%,15,6,22,0.99385212,0.996503651
0-5%,15,6,18,0.986671567,0.996632993
